,a,b
sympy__sympy-13480,1.204439746477661,-3.1991398334503174
sympy__sympy-13551,1.3086916383440101,0.6907016038894653
sympy__sympy-13615,1.7849591549842496,0.6499159932136536
sympy__sympy-13647,1.9533447255313652,-1.8084901571273804
sympy__sympy-13757,1.6940406572822087,0.0475558303296566
sympy__sympy-13798,0.7796747144760001,4.312241077423096
sympy__sympy-13852,1.5149364701108268,5.517055511474609
sympy__sympy-13877,0.4244770179799329,2.8969202041625977
sympy__sympy-13878,1.1422886888790977,0.3801485598087311
sympy__sympy-13974,0.5926922468517464,3.525092840194702
sympy__sympy-14248,1.1922667261362252,3.6298985481262207
sympy__sympy-14531,1.0246777635014461,-0.7224171757698059
sympy__sympy-14711,1.0264895970732408,-2.33400559425354
sympy__sympy-14976,0.6517729320110773,0.8194888830184937
sympy__sympy-15017,0.7483873490157001,0.5958653688430786
sympy__sympy-15345,1.5640022820517643,0.22318626940250397
sympy__sympy-15349,1.302657854870806,-1.297356128692627
sympy__sympy-15599,1.2394091894065622,1.9799151420593262
sympy__sympy-15809,0.8244972178350106,-0.7330718636512756
sympy__sympy-15875,0.6508660580133038,0.12815314531326294
sympy__sympy-15976,1.6539141345744248,1.7435026168823242
sympy__sympy-16450,1.0806892920875981,-2.030172824859619
sympy__sympy-16597,1.7855190767347144,5.306587219238281
sympy__sympy-16766,1.0323442437031765,-2.931478977203369
sympy__sympy-16792,1.6356926496340514,-0.21064063906669617
sympy__sympy-16886,1.558686507034682,-2.8908183574676514
sympy__sympy-17139,1.2145130797604347,-0.7811041474342346
sympy__sympy-17318,0.5214350215812866,5.188690662384033
sympy__sympy-17630,1.5802307499561206,4.770236968994141
sympy__sympy-17655,0.9949126524090971,-0.9284858703613281
sympy__sympy-18189,1.4577854872875198,-1.1671619415283203
sympy__sympy-18199,1.5187563819515624,4.632800102233887
sympy__sympy-18211,1.0044597062972984,0.4393017590045929
sympy__sympy-18698,1.143734501049674,1.5380984544754028
sympy__sympy-18763,0.2196777610800624,2.3846426010131836
sympy__sympy-19040,1.181677890256598,1.9501451253890991
sympy__sympy-19346,1.7397368832833342,-1.564872145652771
sympy__sympy-19495,0.5776150270832998,-0.24237792193889618
sympy__sympy-19637,1.3557984189248253,-2.561613082885742
sympy__sympy-19783,1.5201621601881434,0.05977638438344002
sympy__sympy-19954,1.629271258925317,-1.6624211072921753
sympy__sympy-20154,1.059461839443385,-1.973373293876648
sympy__sympy-20428,1.6571685324194922,4.938769340515137
sympy__sympy-20438,1.785479274142223,5.365477561950684
sympy__sympy-20590,1.6829915607244046,-0.020969096571207047
sympy__sympy-20801,1.5521780197842863,-0.6701720952987671
sympy__sympy-20916,0.9793159848859315,4.083331108093262
